employee_id,full_name,age,department,salary_usd,join_date,email,join_date_missing
101,Alice Roy,29,Sales,55000.0,2019-03-01,alice@corp.com,False
102,Bipasha Sen,34,IT,72000.0,2020-01-15,bipasha@corp.com,False
103,Chandan Das,34,IT,68000.0,2018-11-23,chandan@corp.com,False
104,Debika Ghosh,41,HR,64000.0,2021-06-30,debika@corp.com,False
105,Esha Kar,26,Sales,51000.0,2020-02-14,not_provided@unknown.com,False
106,Unknown,38,Finance,83000.0,,farhan@corp.com,True
107,Gautam Paul,45,Unknown,64000.0,2017-09-09,gautam@corp.com,False
108,Himadri Nag,34,IT,76000.0,2019-12-01,himadri@corp.com,False
109,Ipsita Bose,31,HR,64000.0,2022-01-19,ipsita@corp.com,False
110,Jayanta Roy,27,Finance,62000.0,2020-07-07,jayanta@corp.com,False
111,Kunal Dutta,50,Sales,58000.0,2016-05-22,kunal@corp.com,False
112,Labani Chatterjee,29,IT,70000.0,2021-03-15,labani@corp.com,False
113,Manas Saha,34,HR,64000.0,2019-08-08,manas@corp.com,False
114,Nabanita Dey,33,Finance,88000.0,2018-12-12,nabanita@corp.com,False
115,Oindrila Basu,40,Sales,60500.0,2020-10-10,oindrila@corp.com,False
